filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K
F=textblob-extra_T=freq_GROUP=10_K=5,5.612986100928385,6.058201764945541e-07,1,0.1045266034471382,0.0996541840882827,0.0035461163039934,0.0031671758452038,"[0.0976, 0.1115]","[0.0934, 0.1059]","['F=textblob-extra', 'T=freq', 'GROUP=10', 'K=5']",textblob-extra,freq,10,5
F=textblob-extra_T=freq_GROUP=15_K=100,9.076433257439964,7.150088470509508e-12,1,0.0731625382391594,0.066360521234501,0.0035477804664437,0.0020644485516085,"[0.0662, 0.0801]","[0.0623, 0.0704]","['F=textblob-extra', 'T=freq', 'GROUP=15', 'K=100']",textblob-extra,freq,15,100
F=textblob-extra_T=freq_GROUP=15_K=1000,12.023718236618482,3.224307661629104e-17,1,0.075237082076772,0.0668461712794014,0.0029088110039716,0.0024797602727147,"[0.0695, 0.0809]","[0.0620, 0.0717]","['F=textblob-extra', 'T=freq', 'GROUP=15', 'K=1000']",textblob-extra,freq,15,1000
F=textblob-extra_T=freq_GROUP=15_K=5,5.56752266792535,6.984287712792242e-07,1,0.0708990539406298,0.066745265387964,0.0028281214505126,0.0029496709678043,"[0.0654, 0.0764]","[0.0610, 0.0725]","['F=textblob-extra', 'T=freq', 'GROUP=15', 'K=5']",textblob-extra,freq,15,5
F=textblob-extra_T=freq_GROUP=20_K=100,7.542865509347227,3.6416940737335337e-10,1,0.0550831315459504,0.0495476195757906,0.0027671697822361,0.0029154583695993,"[0.0497, 0.0605]","[0.0438, 0.0553]","['F=textblob-extra', 'T=freq', 'GROUP=20', 'K=100']",textblob-extra,freq,20,100
F=textblob-extra_T=freq_GROUP=20_K=1000,13.08136746389029,6.202040027823108e-19,1,0.0579087901090154,0.0494864519136732,0.0024378005537747,0.0025481595507947,"[0.0531, 0.0627]","[0.0445, 0.0545]","['F=textblob-extra', 'T=freq', 'GROUP=20', 'K=1000']",textblob-extra,freq,20,1000
F=textblob-extra_T=freq_GROUP=20_K=5,5.374253987587581,1.814539465559852e-06,1,0.0535545267899257,0.0497560087834086,0.0031587480192118,0.0022381378352722,"[0.0474, 0.0597]","[0.0454, 0.0541]","['F=textblob-extra', 'T=freq', 'GROUP=20', 'K=5']",textblob-extra,freq,20,5
F=textblob-extra_T=freq_GROUP=25_K=100,4.462787434157485,4.215480081012068e-05,1,0.0433278557710878,0.0406935855459452,0.0026008362991416,0.0019205142273915,"[0.0382, 0.0484]","[0.0369, 0.0445]","['F=textblob-extra', 'T=freq', 'GROUP=25', 'K=100']",textblob-extra,freq,25,100
F=textblob-extra_T=freq_GROUP=25_K=1000,8.183171540565379,3.7088150239894737e-11,1,0.0458930384501831,0.0404195418327248,0.0028046132603053,0.0023570847089227,"[0.0404, 0.0514]","[0.0358, 0.0450]","['F=textblob-extra', 'T=freq', 'GROUP=25', 'K=1000']",textblob-extra,freq,25,1000
F=textblob-extra_T=freq_GROUP=25_K=5,3.835426666981673,0.0003150335725939,1,0.0426140387107843,0.0405014174486848,0.0022579350301156,0.0020009339619416,"[0.0382, 0.0470]","[0.0366, 0.0444]","['F=textblob-extra', 'T=freq', 'GROUP=25', 'K=5']",textblob-extra,freq,25,5
F=textblob-extra_T=freq_GROUP=30_K=100,4.879662455237096,8.688104121633211e-06,1,0.0361822493883415,0.0331426528436778,0.0023705594217541,0.0024537726182998,"[0.0315, 0.0408]","[0.0283, 0.0380]","['F=textblob-extra', 'T=freq', 'GROUP=30', 'K=100']",textblob-extra,freq,30,100
F=textblob-extra_T=freq_GROUP=30_K=1000,8.324633656536172,1.7549105891094364e-11,1,0.0380857296128929,0.0335342052966047,0.0021075011425222,0.0021275872339693,"[0.0340, 0.0422]","[0.0294, 0.0377]","['F=textblob-extra', 'T=freq', 'GROUP=30', 'K=1000']",textblob-extra,freq,30,1000
F=textblob-extra_T=freq_GROUP=30_K=5,4.072365355531144,0.0001442874865497,1,0.0356971811701121,0.0335473508227302,0.0021452503439878,0.0019386790091523,"[0.0315, 0.0399]","[0.0297, 0.0373]","['F=textblob-extra', 'T=freq', 'GROUP=30', 'K=5']",textblob-extra,freq,30,5
F=textblob-extra_T=freq_GROUP=35_K=100,2.6430954144336662,0.0107944574318917,1,0.0312661072105679,0.0298535351976453,0.0017103685368319,0.0023755789939473,"[0.0279, 0.0346]","[0.0252, 0.0345]","['F=textblob-extra', 'T=freq', 'GROUP=35', 'K=100']",textblob-extra,freq,35,100
F=textblob-extra_T=freq_GROUP=35_K=1000,4.931494730069439,7.865024264272217e-06,1,0.0323577602938841,0.0300211939812484,0.0020332970891884,0.0016125864718341,"[0.0284, 0.0363]","[0.0269, 0.0332]","['F=textblob-extra', 'T=freq', 'GROUP=35', 'K=1000']",textblob-extra,freq,35,1000
F=textblob-extra_T=freq_GROUP=35_K=5,2.9055924472689174,0.0052011502607605,1,0.0304461362496681,0.029271356393523,0.0016489923280788,0.0014781700431261,"[0.0272, 0.0337]","[0.0264, 0.0322]","['F=textblob-extra', 'T=freq', 'GROUP=35', 'K=5']",textblob-extra,freq,35,5
F=textblob-extra_T=freq_GROUP=40_K=100,2.8915130527297093,0.0053933042965109,1,0.0268734336723122,0.025480731741279,0.0019150599873813,0.0018144402954138,"[0.0231, 0.0306]","[0.0219, 0.0290]","['F=textblob-extra', 'T=freq', 'GROUP=40', 'K=100']",textblob-extra,freq,40,100
F=textblob-extra_T=freq_GROUP=40_K=1000,6.374614802345499,3.9996160315657536e-08,1,0.0280644848979002,0.024961789773263,0.002097458163321,0.001645525812976,"[0.0240, 0.0322]","[0.0217, 0.0282]","['F=textblob-extra', 'T=freq', 'GROUP=40', 'K=1000']",textblob-extra,freq,40,1000
